Name,Brand,Color,Price,TotalSales
Jotter,Parker,Blue,60,175
Sonnet,Parker,Black,350,45
IM,Parker,Red,120,245
Duofold,Parker,Green,1500,40
Urban,Parker,Blue,180,425
Premier,Parker,Black,550,78
Bailey,Cross,Blue,250,380
Century II,Cross,Black,500,57
Townsend,Cross,Green,1200,31
ATX,Cross,Red,350,42
Prelude,Sheaffer,Blue,150,96
100,Sheaffer,Black,200,113
VFM,Sheaffer,Green,80,278
Sagaris,Sheaffer,Red,300,56
Vanishing Point,Pilot,Blue,1000,85
Custom 74,Pilot,Black,500,42
Metropolitan,Pilot,Green,100,175
Falcon,Pilot,Red,800,29
Homo Sapiens,Visconti,Blue,3000,35
Rembrandt,Visconti,Black,500,50
Opera Master,Visconti,Green,2500,25
Mirage,Visconti,Red,1500,40
